Feature,ProductPhase,Delivery,GoalFile,GoalIDs,SourceFeature,SourceActions,SourceUX,State
FX-01,P01,RM05,modules/01-identity-and-profile.md,NXG-FX01-G01;NXG-FX01-G02;NXG-FX01-G03,docs/features/01-identity-and-profile.md,docs/action-catalog/modules/01-identity.md,docs/ux-ui/modules/01-identity-profile.md,Specified; implementation not approved; runtime not run
FX-02,P01,RM05,modules/02-users-roles-and-permissions.md,NXG-FX02-G01;NXG-FX02-G02;NXG-FX02-G03,docs/features/02-users-roles-and-permissions.md,docs/action-catalog/modules/02-access.md,docs/ux-ui/modules/02-users-roles-permissions.md,Specified; implementation not approved; runtime not run
FX-03,P01,RM06,modules/03-module-platform.md,NXG-FX03-G01;NXG-FX03-G02;NXG-FX03-G03,docs/features/03-module-platform.md,docs/action-catalog/modules/03-modules.md,docs/ux-ui/modules/03-module-platform.md,Specified; implementation not approved; runtime not run
FX-04,P01,RM06,modules/04-read-only-sharing.md,NXG-FX04-G01;NXG-FX04-G02;NXG-FX04-G03,docs/features/04-read-only-sharing.md,docs/action-catalog/modules/04-sharing.md,docs/ux-ui/modules/04-sharing.md,Specified; implementation not approved; runtime not run
FX-05,P01,RM06,modules/05-support-emergency-and-security-center.md,NXG-FX05-G01;NXG-FX05-G02;NXG-FX05-G03,docs/features/05-support-emergency-and-security-center.md,docs/action-catalog/modules/05-support.md,docs/ux-ui/modules/05-support-emergency.md,Specified; implementation not approved; runtime not run
FX-06,P01,RM06,modules/06-notification-center.md,NXG-FX06-G01;NXG-FX06-G02;NXG-FX06-G03,docs/features/06-notification-center.md,docs/action-catalog/modules/06-notifications.md,docs/ux-ui/modules/06-notifications.md,Specified; implementation not approved; runtime not run
FX-07,P01,RM06,modules/07-files-and-attachments.md,NXG-FX07-G01;NXG-FX07-G02;NXG-FX07-G03,docs/features/07-files-and-attachments.md,docs/action-catalog/modules/07-files.md,docs/ux-ui/modules/07-files.md,Specified; implementation not approved; runtime not run
FX-08,P01,RM06,modules/08-trash-activity-and-audit.md,NXG-FX08-G01;NXG-FX08-G02;NXG-FX08-G03,docs/features/08-trash-activity-and-audit.md,docs/action-catalog/modules/08-lifecycle.md,docs/ux-ui/modules/08-trash-activity-audit.md,Specified; implementation not approved; runtime not run
FX-09,P01,RM07,modules/09-settings-and-app-shell.md,NXG-FX09-G01;NXG-FX09-G02;NXG-FX09-G03,docs/features/09-settings-and-app-shell.md,docs/action-catalog/modules/09-settings.md,docs/ux-ui/modules/09-settings-app-shell.md,Specified; implementation not approved; runtime not run
FX-10,P01,RM06/RM09/RM21,modules/10-import-export-and-backup.md,NXG-FX10-G01;NXG-FX10-G02;NXG-FX10-G03,docs/features/10-import-export-and-backup.md,docs/action-catalog/modules/10-transfer.md,docs/ux-ui/modules/10-import-export-backup.md,Specified; implementation not approved; runtime not run
FX-11,P02,RM08,modules/11-projects.md,NXG-FX11-G01;NXG-FX11-G02;NXG-FX11-G03,docs/features/11-projects.md,docs/action-catalog/modules/11-projects.md,docs/ux-ui/modules/11-projects.md,Specified; implementation not approved; runtime not run
FX-12,P02,RM08,modules/12-tasks.md,NXG-FX12-G01;NXG-FX12-G02;NXG-FX12-G03,docs/features/12-tasks.md,docs/action-catalog/modules/12-tasks.md,docs/ux-ui/modules/12-tasks.md,Specified; implementation not approved; runtime not run
FX-13,P02,RM08,modules/13-calendar.md,NXG-FX13-G01;NXG-FX13-G02;NXG-FX13-G03,docs/features/13-calendar.md,docs/action-catalog/modules/13-calendar.md,docs/ux-ui/modules/13-calendar.md,Specified; implementation not approved; runtime not run
FX-14,P02,RM08,modules/14-reminders-and-scheduling.md,NXG-FX14-G01;NXG-FX14-G02;NXG-FX14-G03,docs/features/14-reminders-and-scheduling.md,docs/action-catalog/modules/14-reminders.md,docs/ux-ui/modules/14-reminders.md,Specified; implementation not approved; runtime not run
FX-15,P02,RM10,modules/15-planner.md,NXG-FX15-G01;NXG-FX15-G02;NXG-FX15-G03,docs/features/15-planner.md,docs/action-catalog/modules/15-planner.md,docs/ux-ui/modules/15-planner.md,Specified; implementation not approved; runtime not run
FX-16,P02,RM10,modules/16-goals.md,NXG-FX16-G01;NXG-FX16-G02;NXG-FX16-G03,docs/features/16-goals.md,docs/action-catalog/modules/16-goals.md,docs/ux-ui/modules/16-goals.md,Specified; implementation not approved; runtime not run
FX-17,P02,RM10,modules/17-habits.md,NXG-FX17-G01;NXG-FX17-G02;NXG-FX17-G03,docs/features/17-habits.md,docs/action-catalog/modules/17-habits.md,docs/ux-ui/modules/17-habits.md,Specified; implementation not approved; runtime not run
FX-18,P02,RM10,modules/18-time-tracking.md,NXG-FX18-G01;NXG-FX18-G02;NXG-FX18-G03,docs/features/18-time-tracking.md,docs/action-catalog/modules/18-time.md,docs/ux-ui/modules/18-time-tracking.md,Specified; implementation not approved; runtime not run
FX-19,P02,RM10,modules/19-pomodoro.md,NXG-FX19-G01;NXG-FX19-G02;NXG-FX19-G03,docs/features/19-pomodoro.md,docs/action-catalog/modules/19-focus.md,docs/ux-ui/modules/19-pomodoro-focus.md,Specified; implementation not approved; runtime not run
FX-20,P03,RM09,modules/20-documents.md,NXG-FX20-G01;NXG-FX20-G02;NXG-FX20-G03,docs/features/20-documents.md,docs/action-catalog/modules/20-documents.md,docs/ux-ui/modules/20-documents.md,Specified; implementation not approved; runtime not run
FX-21,P03,RM09,modules/21-bookmarks.md,NXG-FX21-G01;NXG-FX21-G02;NXG-FX21-G03,docs/features/21-bookmarks.md,docs/action-catalog/modules/21-bookmarks.md,docs/ux-ui/modules/21-bookmarks.md,Manual metadata slice implemented locally; advanced actions gated; runtime not run
FX-22,P03,RM09,modules/22-snippets.md,NXG-FX22-G01;NXG-FX22-G02;NXG-FX22-G03,docs/features/22-snippets.md,docs/action-catalog/modules/22-snippets.md,docs/ux-ui/modules/22-snippets.md,Specified; implementation not approved; runtime not run
FX-23,P03,RM09,modules/23-read-later.md,NXG-FX23-G01;NXG-FX23-G02;NXG-FX23-G03,docs/features/23-read-later.md,docs/action-catalog/modules/23-reading.md,docs/ux-ui/modules/23-read-later.md,Specified; implementation not approved; runtime not run
FX-24,P03,RM09,modules/24-organization-and-templates.md,NXG-FX24-G01;NXG-FX24-G02;NXG-FX24-G03,docs/features/24-organization-and-templates.md,docs/action-catalog/modules/24-organization.md,docs/ux-ui/modules/24-organization-tags-templates.md,Specified; implementation not approved; runtime not run
FX-25,P03,RM11,modules/25-search-favorites-and-command-palette.md,NXG-FX25-G01;NXG-FX25-G02;NXG-FX25-G03,docs/features/25-search-favorites-and-command-palette.md,docs/action-catalog/modules/25-discovery.md,docs/ux-ui/modules/25-search-favorites-command-palette.md,Specified; implementation not approved; runtime not run
FX-26,P03,RM11,modules/26-dashboard.md,NXG-FX26-G01;NXG-FX26-G02;NXG-FX26-G03,docs/features/26-dashboard.md,docs/action-catalog/modules/26-dashboard.md,docs/ux-ui/modules/26-dashboard.md,Specified; implementation not approved; runtime not run
FX-27,P04,RM12,modules/27-finance.md,NXG-FX27-G01;NXG-FX27-G02;NXG-FX27-G03,docs/features/27-finance.md,docs/action-catalog/modules/27-finance.md,docs/ux-ui/modules/27-finance.md,Specified; implementation not approved; runtime not run
FX-28,P04,RM12,modules/28-vault.md,NXG-FX28-G01;NXG-FX28-G02;NXG-FX28-G03,docs/features/28-vault.md,docs/action-catalog/modules/28-vault.md,docs/ux-ui/modules/28-vault.md,Specified; implementation not approved; runtime not run
FX-29,P05,RM13,modules/29-news-and-feeds.md,NXG-FX29-G01;NXG-FX29-G02;NXG-FX29-G03,docs/features/29-news-and-feeds.md,docs/action-catalog/modules/29-news.md,docs/ux-ui/modules/29-news-feeds.md,Specified; implementation not approved; runtime not run
FX-30,P05,RM13,modules/30-shopee-price-tracking.md,NXG-FX30-G01;NXG-FX30-G02;NXG-FX30-G03,docs/features/30-shopee-price-tracking.md,docs/action-catalog/modules/30-prices.md,docs/ux-ui/modules/30-price-tracking.md,Specified; implementation not approved; runtime not run
